user_name,url,created_at,map1,votes1,map2,votes2,map3,votes3,total_votes,percent1,percent2,percent3,winner
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,JUNKERTOWN,1,NUMBANI,1,RIALTO,7,9,0.1111111111111111,0.1111111111111111,0.7777777777777778,RIALTO
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,NEPAL,6,WATCHPOINT: GIBRALTAR,1,ANTARCTIC PENINSULA,1,8,0.75,0.125,0.125,NEPAL
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,RUNASAPI,5,AATLIS,2,HOLLYWOOD,0,7,0.7142857142857143,0.2857142857142857,0.0,RUNASAPI
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,ROUTE 66,1,OASIS,6,BUSAN,1,8,0.125,0.75,0.125,OASIS
Danteh,https://www.twitch.tv/videos/2501905400,2025-07-02,HAVANA,0,AATLIS,5,ESPERANÇA,3,8,0.0,0.625,0.375,AATLIS
sugarfree,https://www.twitch.tv/videos/2502386933,2025-07-03,NUMBANI,6,MIDTOWN,2,HOLLYWOOD,0,8,0.75,0.25,0.0,NUMBANI
sugarfree,https://www.twitch.tv/videos/2502386933,2025-07-03,ROUTE 66,2,SHAMBALI MONASTERY,2,AATLIS,0,4,0.5,0.5,0.0,draw
astdesign,https://www.twitch.tv/videos/2502137718,2025-07-02,NEPAL,4,HAVANA,0,SAMOA,1,5,0.8,0.0,0.2,NEPAL
astdesign,https://www.twitch.tv/videos/2502137718,2025-07-02,PARAÍSO,0,KING'S ROW,7,AATLIS,1,8,0.0,0.875,0.125,KING'S ROW
Gurkmeister,https://www.twitch.tv/videos/2502591823,2025-07-03,NEW QUEEN STREET,0,KING'S ROW,7,NEW JUNK CITY,0,7,0.0,1.0,0.0,KING'S ROW
Gurkmeister,https://www.twitch.tv/videos/2502591823,2025-07-03,AATLIS,5,HOLLYWOOD,2,BUSAN,3,10,0.5,0.2,0.3,AATLIS
Gurkmeister,https://www.twitch.tv/videos/2502591823,2025-07-03,ANTARCTIC PENINSULA,6,BUSAN,1,DORADO,2,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,ANTARCTIC PENINSULA
Gurkmeister,https://www.twitch.tv/videos/2501705129,2025-07-02,MIDTOWN,1,CIRCUIT ROYAL,2,AATLIS,5,8,0.125,0.25,0.625,AATLIS
Gurkmeister,https://www.twitch.tv/videos/2501705129,2025-07-02,BLIZZARD WORLD,1,CIRCUIT ROYAL,2,MIDTOWN,2,5,0.2,0.4,0.4,draw
Gurkmeister,https://www.twitch.tv/videos/2501705129,2025-07-02,AATLIS,2,EICHENWALDE,3,OASIS,3,8,0.25,0.375,0.375,draw
